07/04/2026 - 19:38:20 (-3 TMZ) | 06:00:03:20 (Artemis Clock) | and plus X flange heaters are on, and prop avionics are configured.
08/04/2026 - 17:53:35 (-3 TMZ) | 06:22:18:35 (Artemis Clock) | While I have you, I wanted to note that unfortunately I forgot to run the accelerometers during my exercise.
08/04/2026 - 17:53:41 (-3 TMZ) | 06:22:18:41 (Artemis Clock) | Copy, we appreciate the report.
08/04/2026 - 17:54:08 (-3 TMZ) | 06:22:19:08 (Artemis Clock) | Those communications from NASA astronaut Christina Koch down here to the ground. Now, we are just about seven minutes away from our daily press conference here at NASA's Johnson Space Center. And if you're interested in watching, you don't have to go anywhere. This NASA YouTube stream will automatically switch over to the briefing at 4 p.m. Central. If you're interested in keeping on
08/04/2026 - 18:00:46 (-3 TMZ) | 06:22:25:46 (Artemis Clock) | The Artemis II mission is a test mission of the Orion space capsule. Artemis II will be the first time we put humans on this rocket. We're going back to the Moon because it's the next step in our journey to Mars.
08/04/2026 - 18:01:12 (-3 TMZ) | 06:22:26:12 (Artemis Clock) | is just core to who we are. That's a part of being a human. And lift off! We shall return. Continuing to test out every bit of Orion. Coming back to Earth. 7 miles a second. When humanity sets big goals, we.
08/04/2026 - 18:02:00 (-3 TMZ) | 06:22:27:00 (Artemis Clock) | I'm joined by several NASA leaders here this afternoon to talk about how the flight test has been going as the crew heads back toward Earth. They are Lakeisha Hawkins, Deputy for Artemis.
08/04/2026 - 18:02:05 (-3 TMZ) | 06:22:27:05 (Artemis Clock) | Rick Henfling, Entry Flight Director for the mission.
08/04/2026 - 18:02:26 (-3 TMZ) | 06:22:27:26 (Artemis Clock) | Martha Lilly Villarreal, the Artemis Landing and Recovery Director. We'll have some opening remarks as usual, and then we'll get into questions, and we'll start with LaKeisha.
08/04/2026 - 18:02:31 (-3 TMZ) | 06:22:27:31 (Artemis Clock) | Thank you, and thank you for your continued interest in our mission and in Artemis.
08/04/2026 - 18:02:58 (-3 TMZ) | 06:22:27:58 (Artemis Clock) | mission back to Earth and we get ready for entry day. After an exciting day of science on Monday and a day for the crew to recover and then achieve some other flight objectives yesterday, the team is turning our attention to the return and getting the crew safely home.
08/04/2026 - 18:03:30 (-3 TMZ) | 06:22:28:30 (Artemis Clock) | I wanted to share a couple of the imagery highlights today. The crew was able to send down a group photo, and it's great to see them doing so well and in such great spirits. And I'm happy to see Rise there front and center with the team. We can't wait.
08/04/2026 - 18:03:56 (-3 TMZ) | 06:22:28:56 (Artemis Clock) | With no interference, the crew could see the glowing ribbon of stars and filaments, a clear view of our home galaxy.
08/04/2026 - 18:04:22 (-3 TMZ) | 06:22:29:22 (Artemis Clock) | Now, in the area of science, in addition to the lunar science activities that we saw on Monday, our other science and payload activities continue to progress as planned. At the Marshall Space Flight Center in Huntsville, Alabama, our payload and mission operations
08/04/2026 - 18:04:49 (-3 TMZ) | 06:22:29:49 (Artemis Clock) | Space environment impacts the astronauts during the Artemis missions.
08/04/2026 - 18:05:09 (-3 TMZ) | 06:22:30:09 (Artemis Clock) | During Apollo, they didn't gather this kind of human health data, and we can't get this information during low-Earth orbit missions.
08/04/2026 - 18:05:30 (-3 TMZ) | 06:22:30:30 (Artemis Clock) | Having the mobile launcher in good condition really ensures that we'll be ready to start stacking the Artemis III vehicle according to the timeline that supports launching that mission next year.
08/04/2026 - 18:05:56 (-3 TMZ) | 06:22:30:56 (Artemis Clock) | and flawless as we could have expected, and the SLS team already has begun digging into all of that data for detailed post-flight analysis to see if any refinements need to be made going forward.
08/04/2026 - 18:06:23 (-3 TMZ) | 06:22:31:23 (Artemis Clock) | to ensuring that we can dock with human landers during Artemis III and beyond. And we heard in real time from Victor during the prox ops demonstration how precise the handling appeared to have been, and the other demonstrations are proving us with even more data.
08/04/2026 - 18:06:44 (-3 TMZ) | 06:22:31:44 (Artemis Clock) | as well as the Service Module pressure control assembly operations. And we're also learning about how long some of the activities inside the cabin should take.
08/04/2026 - 18:07:10 (-3 TMZ) | 06:22:32:10 (Artemis Clock) | We've also elected to skip the radiation shielding or parts of it, the demonstration, to allow more time for transition of the cabin to prepare for entry. And Rick will talk a little bit more about that. These learnings are helping us get ready for our next mission.
08/04/2026 - 18:07:37 (-3 TMZ) | 06:22:32:37 (Artemis Clock) | It is not. We can't forget that this is a test flight and are taking everything that we're learning forward to support the next mission. This has been a good mission so far, and we're nearing the end, having retired a significant number of risks over recent days, but the team remains focused.
08/04/2026 - 18:08:09 (-3 TMZ) | 06:22:33:09 (Artemis Clock) | to improve to make our ultimate goals of going to the lunar surface, building the moon base, and eventually sending the first humans to Mars a reality. So I appreciate your continued interest, and with that, I'll pass it to Rick to provide an update on operations as we get ready to bring the crew home.
08/04/2026 - 18:08:35 (-3 TMZ) | 06:22:33:35 (Artemis Clock) | As well as today, our primary activity yesterday evening was to perform our first return trajectory correction maneuver, RTC number one. That was 1.6 feet per second. It lasted 15 seconds and it was using the service module reaction control system.
08/04/2026 - 18:09:07 (-3 TMZ) | 06:22:34:07 (Artemis Clock) | These garments, these are special garments designed to help ensure the proper blood flow for the crew members when they return to the pull of Earth's gravity. It was important to get this and try this out today so that the crew has an understanding of what it's like to put this on on entry day.
08/04/2026 - 18:09:38 (-3 TMZ) | 06:22:34:38 (Artemis Clock) | Spaceflights. The crew also performed a couple of recordings for their National Geographic payload activity. They did a few PAO events. And later this evening, we're going to do a couple of manual piloting demonstrations. One will be to use the docking camera to point the
08/04/2026 - 18:10:04 (-3 TMZ) | 06:22:35:04 (Artemis Clock) | crew is going to center the Earth in the field of view of one of the windows, and then they're going to fly the spacecraft to an attitude where the tail points towards the sun. This is important in order to be able to show that the flight crew can maneuver their spacecraft to get power and generate power so they can continue to power
08/04/2026 - 18:10:10 (-3 TMZ) | 06:22:35:10 (Artemis Clock) | for the subsystems onboard the spacecraft.
08/04/2026 - 18:10:36 (-3 TMZ) | 06:22:35:36 (Artemis Clock) | Ultimately, the radiation shelter demo was largely a stowage activity for us. We had to remove a bunch of stowage from a couple of lockers and show that we could get a crew member to shelter in that locker. While we don't need any more practice moving stowage around, we're going to get plenty of that on flight day 9.
08/04/2026 - 18:11:02 (-3 TMZ) | 06:22:36:02 (Artemis Clock) | And so, the way we're going to provide good ventilation is through the suit umbilical. So when the crew members put their launch and entry suits on for entry, one of the umbilicals they made is for airflow. And we would repurpose that umbilical and show that we could provide proper airflow to the astronauts when they're in suit.
08/04/2026 - 18:11:08 (-3 TMZ) | 06:22:36:08 (Artemis Clock) | somewhat of a confined space of the storage locker.
08/04/2026 - 18:11:35 (-3 TMZ) | 06:22:36:35 (Artemis Clock) | The first one that we're really going to have to keep our eye on is crew module and service module separation. That's going to happen about 20 minutes before entry interface. Once we get through the separation of the service module, we're going to do one final burn. It's called our crew module raise burn. This is
08/04/2026 - 18:12:01 (-3 TMZ) | 06:22:37:01 (Artemis Clock) | before entry interface. So we'll perform that about 16 and a half minutes before entry interface. Once that burn is complete, the spacecraft is gonna make a couple of roll maneuvers. This will provide additional separation between the service module, which is headed for a destructive entry in the Earth's atmosphere.
08/04/2026 - 18:12:27 (-3 TMZ) | 06:22:37:27 (Artemis Clock) | down and then they will be in an isolated environment in their launch and entry suit until after splashdown. We'll hit entry interface at 400,000 feet, about 1,950 miles away from our landing site, and that's when the fun really begins.
08/04/2026 - 18:12:59 (-3 TMZ) | 06:22:37:59 (Artemis Clock) | Telemetry, this is nominal, it'll last six minutes. Once that six-minute blackout is done, Orion's gonna be about 150,000 feet, so still falling pretty quickly. We're gonna be within a couple tens of miles of the landing site by that point. And then our focus is gonna shift to
08/04/2026 - 18:13:32 (-3 TMZ) | 06:22:38:32 (Artemis Clock) | The three main parachutes, those are the orange parachutes you see in the image, that'll happen about 6,000 feet altitude, which will slow the spacecraft and her four inhabitants down to a gentle 20-mile-an-hour splashdown in the Pacific Ocean. We'll get the spacecraft powered down about 15 minutes after splashdown.
08/04/2026 - 18:13:57 (-3 TMZ) | 06:22:38:57 (Artemis Clock) | Let's go to the next graphic, which has a little bit more detail on some of those events. Here's a plot of what entry is going to look like. You can see, it's only 13 minutes from entry interface until splashdown, so it's going to happen pretty quick. And the flight control team here in Houston, we're going to be without comms with the flight crew for six of those minutes.
08/04/2026 - 18:14:29 (-3 TMZ) | 06:22:39:29 (Artemis Clock) | Before we deploy the drug parachutes, we have to jettison something called the forward bay cover. It provides the protection for all the parachutes. And that's what's going to get jettisoned at about 35,000 feet. There's a window for the jettison of the forward bay cover, so if it doesn't happen at 35,000, it can happen lower, as low as 25.
08/04/2026 - 18:14:40 (-3 TMZ) | 06:22:39:40 (Artemis Clock) | and nominally, we actually expect it to happen closer to 24,000 feet.
08/04/2026 - 18:14:46 (-3 TMZ) | 06:22:39:46 (Artemis Clock) | Next page.
08/04/2026 - 18:15:09 (-3 TMZ) | 06:22:40:09 (Artemis Clock) | landing in our targeted landing site off the coast of California.
08/04/2026 - 18:15:35 (-3 TMZ) | 06:22:40:35 (Artemis Clock) | So really excited to be just a few days away from that happening. I did want to talk a little bit about something you may not have seen yet. If you pull up the full first graphic, it's a short video. Our engineering team supports the mission from a facility called the Mission Evaluation Room, it's the MER.
08/04/2026 - 18:16:02 (-3 TMZ) | 06:22:41:02 (Artemis Clock) | On NASA TV, these are our engineering expertise that supports Rick's flight control team, and so they've been on console since about 48 hours before launch, keeping a close eye on all of the systems, looking at all the data, modifying procedures as needed, and then just watching how the systems are performing.
08/04/2026 - 18:16:34 (-3 TMZ) | 06:22:41:34 (Artemis Clock) | the crew module images we got down from our first external survey that was right after the TLI burn. So we actually do another external survey on the way home. This is our inbound external inspection. So I think about the next slide.
08/04/2026 - 18:17:00 (-3 TMZ) | 06:22:42:00 (Artemis Clock) | of the crew module. No concerns, no issues seen that would make us have any pause for the reentry phase. Everything is in excellent condition for that entry. So that's our pre-crew module. I think we have a couple of pictures of the service module as well. Yeah, so we obviously don't bring the service module home, as we mentioned.
08/04/2026 - 18:17:27 (-3 TMZ) | 06:22:42:27 (Artemis Clock) | That was interesting. It's a picture of the solar arrays, but it's actually the backside of the solar array, which we don't normally see. So anyway, I went and pored over all this imagery and everything looks really good for the return. Operations-wise, there's a few other things going on in the cabin. You know, one interesting test that we're doing today is when you pressurize the cabin,
08/04/2026 - 18:17:59 (-3 TMZ) | 06:22:42:59 (Artemis Clock) | contingency access to like our ECOS system. So we'll be looking at that today to see if that demonstration works out, works out well. We're also doing some demonstration what's called 20 by 20 degree deadbanding. This is pointing the spacecraft a little bit different throughout the day to test thermal response.
08/04/2026 - 18:18:26 (-3 TMZ) | 06:22:43:26 (Artemis Clock) | So I guess some other things, we've collected a lot of data on this mission. We'll be getting a lot of that data back when it comes back. But I did want to mention a couple of things. We've consumed 2,964 pounds of fuel in the service module. We have 4,285 to go. So clearly, we had put a lot of margin into this mission.
08/04/2026 - 18:18:52 (-3 TMZ) | 06:22:43:52 (Artemis Clock) | control team and the MER team doing all of that. And then we mentioned the optical comm and how effective that has been in getting data down, 122 gigabytes of data downloaded. That was a record. That was in a single day. That was today, and a total of over 312 gigabytes of data coming down that optical comm system. So that's
08/04/2026 - 18:19:18 (-3 TMZ) | 06:22:44:18 (Artemis Clock) | at work monitoring it until it gets home. So with that, I will hand it over to Lily.
08/04/2026 - 18:19:45 (-3 TMZ) | 06:22:44:45 (Artemis Clock) | with the USS John P. Murtha with the joint NASA and military team who are ready to safely recover the crew once they splash down off the coast of California. The ship departed from Naval Base San Diego on time, and we are currently maneuvering the ship to the landing zone. Over the past couple of days, we have been completing final preparations.
08/04/2026 - 18:20:10 (-3 TMZ) | 06:22:45:10 (Artemis Clock) | Now, we've been practicing during our underway recovery test. I want to quickly walk you, however, through the process of how we will safely recover the Artemis II crew and the Orion spacecraft once they return from their trip around the moon. The ship and the small boats will be positioned at a safe distance as the Orion
08/04/2026 - 18:20:36 (-3 TMZ) | 06:22:45:36 (Artemis Clock) | Rick talked about. At splashdown, the crew in Houston will follow their post-landing procedures while our divers maintain a distance of about 120 yards to the capsule once we're clear to go to the capsule. After handover from the flight director to the land area
08/04/2026 - 18:21:18 (-3 TMZ) | 06:22:46:18 (Artemis Clock) | Once all four astronauts are on the front porch, we will tow the capsule away from the front porch, and the team will wait pickup from Navy helicopters, which are deployed from the recovery vessel. Two helicopters are going to rotate picking up all four crew members before they return to the recovery ship.
08/04/2026 - 18:21:45 (-3 TMZ) | 06:22:46:45 (Artemis Clock) | deliver them to the medical bay within two hours of splashdown. With the crew safely out of the capsule and in tandem to the recovery, teams will work on towing Orion into the well deck of the ship, using procedures that were very similar to those that we used on Artemis I. Once we have Orion...
08/04/2026 - 18:22:11 (-3 TMZ) | 06:22:47:11 (Artemis Clock) | Depending on our distance, by then the Artemis II crew will fly off the ship back to shore, we anticipate within 12 to 24 hours post-splashdown. Before I wrap up my remarks, I do want to take a moment to thank our partners from the U.S. military who are supporting our Artemis recovery.
08/04/2026 - 18:22:37 (-3 TMZ) | 06:22:47:37 (Artemis Clock) | crewed Orion spacecraft during the Artemis I mission, and we feel confident that through our testing and training alongside the Navy and other collaborators, we will make Artemis II just as successful. With that, thank you, and I'll pass it back to Rachel. Okay, it's time now for questions. We'll take one.
08/04/2026 - 18:23:03 (-3 TMZ) | 06:22:48:03 (Artemis Clock) | Here with Jackie.
08/04/2026 - 18:23:24 (-3 TMZ) | 06:22:48:24 (Artemis Clock) | I would love to clarify exactly what G-forces the astronauts are expecting to experience, whether in an off-nominal or nominal situation. Thanks so much.
08/04/2026 - 18:24:07 (-3 TMZ) | 06:22:49:07 (Artemis Clock) | we step deeper and deeper into the severity of the problem, which requires us to land shorter and shorter or further and further away from the landing sites. If we pursue one of those contingency trajectories, you could see G loads as high as 7 or 7.5 G.
08/04/2026 - 18:24:10 (-3 TMZ) | 06:22:49:10 (Artemis Clock) | These
08/04/2026 - 18:24:12 (-3 TMZ) | 06:22:49:12 (Artemis Clock) | Okay, we'll go with Josh here.
08/04/2026 - 18:24:33 (-3 TMZ) | 06:22:49:33 (Artemis Clock) | Not being able to practice those procedures beyond low Earth orbit until the lunar landing mission on Artemis IV.
08/04/2026 - 18:25:01 (-3 TMZ) | 06:22:50:01 (Artemis Clock) | There was still an opportunity to test out that suit umbilical airflow, which is arguably, in my mind, is the most important part of that demo because the radiation shelter was... It's an area in the spacecraft that is kind of deep down in one of the...
08/04/2026 - 18:25:33 (-3 TMZ) | 06:22:50:33 (Artemis Clock) | The important thing is to make sure that we can provide a habitable environment when the crew member is down in that locker, and airflow is critical to that. If you're in zero gravity, you can develop pockets of carbon dioxide if you don't have sufficient airflow, because there's no convection to move the air.
08/04/2026 - 18:26:00 (-3 TMZ) | 06:22:51:00 (Artemis Clock) | So the airflow is the most important part of that demo, and we did find a way to achieve that objective. And I should maybe add too that the stowage part of that is practiced quite a bit over in the mock-up here in Building 9, so the part of that you can really do in 1G, they've practiced several, many, many times, so feel confident it'll work.
08/04/2026 - 18:26:26 (-3 TMZ) | 06:22:51:26 (Artemis Clock) | This is the Avatar data where we are getting effects of radiation on tissue chips from the crew. So in terms of actual better understanding of the impact of radiation, we will still get data associated with that. Okay, we'll go here to Eric.
08/04/2026 - 18:26:31 (-3 TMZ) | 06:22:51:31 (Artemis Clock) | Berger and then to Marsha.
08/04/2026 - 18:26:58 (-3 TMZ) | 06:22:51:58 (Artemis Clock) | Give us any pause. Let's say in the very unexpected event that there was some serious MMOD damage, you know, on the edge of the heat shield that you could see, or with the spacecraft. I mean, I think I know the answer to this, but what is the contingency plan that there isn't one, right? Correct. I mean, we aren't looking at the heat shield.
08/04/2026 - 18:27:35 (-3 TMZ) | 06:22:52:35 (Artemis Clock) | And you could try to pick one that was the least stressing if there were something of concern. But as Debbie said, we did the survey and there's nothing to be concerned about for entry.
08/04/2026 - 18:28:06 (-3 TMZ) | 06:22:53:06 (Artemis Clock) | So as far as the speed, our prediction for Artemis II, we're going to reach a max velocity of 34,965 feet per second, and that is less than the Apollo 10 record of 36,397.
08/04/2026 - 18:28:32 (-3 TMZ) | 06:22:53:32 (Artemis Clock) | San Diego, some quick inspections and other things we do there, but immediately, as quickly as we can, put it on a truck and it gets driven back to Florida, back to the facility where we'll start doing the disservicing there. It's closer to two weeks.
08/04/2026 - 18:28:38 (-3 TMZ) | 06:22:53:38 (Artemis Clock) | Mark Carreau with Aviation Week.
08/04/2026 - 18:28:43 (-3 TMZ) | 06:22:53:43 (Artemis Clock) | The external imagery that you showed, was that what was taken yesterday morning?
08/04/2026 - 18:28:49 (-3 TMZ) | 06:22:53:49 (Artemis Clock) | Yeah, that was our inbound inspections. Yes, that was the most recent pictures.
08/04/2026 - 18:29:21 (-3 TMZ) | 06:22:54:21 (Artemis Clock) | Are they going to be heads down at entry interface? Is there any pre-bank? And also, if you could elaborate on the G spikes. The way I understand it is they do that first pullout, there should be a spike, and then there's another one as you come back down on the second side of that. And then just one other add-on to that is, are there any DTOs?
08/04/2026 - 18:29:27 (-3 TMZ) | 06:22:54:27 (Artemis Clock) | Is there any manual control inputs, any PTIs or anything like that that are going to be done in this time frame?
08/04/2026 - 18:29:58 (-3 TMZ) | 06:22:54:58 (Artemis Clock) | Spikes in the G-loads, but again, the max is 3.9, so you get about two similar 3.9 Gs on entry as you do the various roll reversals. Pre-bank, we do have, we'll roll in to capture the atmosphere right at entry.
08/04/2026 - 18:30:24 (-3 TMZ) | 06:22:55:24 (Artemis Clock) | Jonathan. Jonathan Serry with Fox News. Follow-up to that, we're talking about the Gs that the Artemis crew will experience. How does that compare to crews coming back from LEO, say, in a crew Dragon, in terms of Gs and also duration of reentry?
08/04/2026 - 18:30:45 (-3 TMZ) | 06:22:55:45 (Artemis Clock) | afterwards and give you accurate numbers as opposed to me speculating.
08/04/2026 - 18:30:51 (-3 TMZ) | 06:22:55:51 (Artemis Clock) | Okay, we'll take a couple questions from the phone. The first is from Lauren Grush with Bloomberg.
08/04/2026 - 18:31:17 (-3 TMZ) | 06:22:56:17 (Artemis Clock) | And just to clarify, I guess I'm wondering what are the variables that you can change with this splashdown if there is some kind of technical issue discovered ahead of the reentry, and what can't you change? Thanks so much. Sure, so for the weather constraints for splashdown...
08/04/2026 - 18:32:15 (-3 TMZ) | 06:22:57:15 (Artemis Clock) | but it is it's looking like we'll have some favorable conditions for a nice landing on Friday.
08/04/2026 - 18:32:18 (-3 TMZ) | 06:22:57:18 (Artemis Clock) | And there was another question, I think. Is there another?
08/04/2026 - 18:32:20 (-3 TMZ) | 06:22:57:20 (Artemis Clock) | Okay.
08/04/2026 - 18:32:32 (-3 TMZ) | 06:22:57:32 (Artemis Clock) | Oh, that's right. Yeah, so as far as the variables that affect the landing down modes, we call them down modes, if you have a contingency, we're really looking at things that affect the guidance, navigation, and control, and the propulsion systems.
08/04/2026 - 18:32:59 (-3 TMZ) | 06:22:57:59 (Artemis Clock) | which shortens our entry profile. We land further up range, but they are certified spacecraft guidance navigation and control modes that will ensure a safe landing in multiple failure condition contingencies. Okay, next.
08/04/2026 - 18:33:04 (-3 TMZ) | 06:22:58:04 (Artemis Clock) | We'll stick with the phone. We have Ken Chang with The New York Times.
08/04/2026 - 18:33:25 (-3 TMZ) | 06:22:58:25 (Artemis Clock) | guaranteed. Does that reduce the flexibility of where you can land?
08/04/2026 - 18:33:51 (-3 TMZ) | 06:22:58:51 (Artemis Clock) | we did a lot of investigation after Artemis I. We did do the full skip there, so we understand how the rest of the vehicle behaves. And done an extensive ground test program to understand how this heat shield behaves, and then so we can expand that to a larger skip, a real skip entry, starting with Artemis III again. So this is just one piece of our test flight program to get...
08/04/2026 - 18:34:12 (-3 TMZ) | 06:22:59:12 (Artemis Clock) | going into it, and we've built in the ground test program to get us the full skip entry for the future.
08/04/2026 - 18:34:18 (-3 TMZ) | 06:22:59:18 (Artemis Clock) | We'll do one more question on the phone, then come back to the room. The next question is from Nell Greenfieldboyce with NPR.
08/04/2026 - 18:34:44 (-3 TMZ) | 06:22:59:44 (Artemis Clock) | Fine, but I'm wondering, you know, what wouldn't be fine? And I'm also wondering, like, do we have any data on the heat shield that can't be seen? I don't know what it would be. I'm assuming not, but I'm just asking, what, if anything, is known about what's going on in the parts that are covered? Thanks.
08/04/2026 - 18:35:11 (-3 TMZ) | 06:23:00:11 (Artemis Clock) | covered with that SIOx tape in most cases. So we're just looking to see if we see any notable damage that might give us a concern that might want us to change how we do our reentry profile. The tiles themselves are very robust, and they have huge levels of margins, so we can accommodate some MMOD.
08/04/2026 - 18:35:37 (-3 TMZ) | 06:23:00:37 (Artemis Clock) | we can accommodate and we really didn't see anything at all. So that's what we're looking at. In terms of the heat shield, no, we're not getting data off of that at this time. That's been covered with the service module. And so we will not be getting any data off of that until we hit that separation phase.
08/04/2026 - 18:36:03 (-3 TMZ) | 06:23:01:03 (Artemis Clock) | Thanks.
08/04/2026 - 18:36:29 (-3 TMZ) | 06:23:01:29 (Artemis Clock) | which is actually Jeremy, and then the second medic will enter, and he will go to Reed, and then we'll have the two follow-on medics along with the medical officer, the Navy medical officer, will go in and take care of Victor and Christina. Once they assist...
08/04/2026 - 18:37:19 (-3 TMZ) | 06:23:02:19 (Artemis Clock) | Thank you. Will Robinson-Smith with Spaceflight Now. Thank you all for taking the time. A question to Rick, you mentioned the remaining manual piloting events that are still left. Can you talk about which crew members are going to be doing what? And then just a quick one to Lakeisha. We've heard the crew during each of the crew…
08/04/2026 - 18:37:40 (-3 TMZ) | 06:23:02:40 (Artemis Clock) | Can you explain what a light being off actually means? Thanks.
08/04/2026 - 18:38:06 (-3 TMZ) | 06:23:03:06 (Artemis Clock) | pilots and non-pilots, and so I would expect everyone to have an opportunity to have a chance to fly the spacecraft so that we can understand the handling capabilities of Orion, both from a pilot's perspective as well as from a non-pilot because we by...
08/04/2026 - 18:38:43 (-3 TMZ) | 06:23:03:43 (Artemis Clock) | in the commander and pilot seats, you can really allow anyone in the astronaut corps to help fly that spacecraft.
08/04/2026 - 18:38:54 (-3 TMZ) | 06:23:03:54 (Artemis Clock) | Yeah, to your question about Avatar, we will get you someone to get you a specific answer about the lights on, lights off. But that's an autonomously run system. It's still got good power to it and it is still functioning. It reported back that it's still functioning as it should.
08/04/2026 - 18:39:20 (-3 TMZ) | 06:23:04:20 (Artemis Clock) | Zachary with CNN. Thank you for taking the time today. Can you talk about, and this might be a question for Lillian Reed, how many aircraft drones kind of getting eyes on the capsule as it's coming back in for reentry? And is that number kind of standard, or is it more because this is such a...
08/04/2026 - 18:39:25 (-3 TMZ) | 06:23:04:25 (Artemis Clock) | This is the first time there's been a crew on this particular capsule reentering.
08/04/2026 - 18:39:51 (-3 TMZ) | 06:23:04:51 (Artemis Clock) | Thank you. And Deb, you can confirm that there is going to be at least seven different aircraft, sci-fi aircraft, at different altitudes imaging the vehicle, and Deb, you correct me if I got that wrong. No, that's correct, and it's a lot more than that.
08/04/2026 - 18:39:58 (-3 TMZ) | 06:23:04:58 (Artemis Clock) | we had on Artemis 1. We've added quite a few more air assets to capture more imagery as the vehicle is coming down.
08/04/2026 - 18:40:24 (-3 TMZ) | 06:23:05:24 (Artemis Clock) | 60s with our own gimbals. They're going to be at different altitudes, who will be much closer to the splashdown, taking imaging of the splashdown all the way until splashdown. If for some reason we have clouds, we also have additional gimbals.
08/04/2026 - 18:40:51 (-3 TMZ) | 06:23:05:51 (Artemis Clock) | Go ahead. Hi, Andrea Linefelder of the Houston Chronicle. You know, I was hoping to talk a little more about this being a test flight. We've talked a lot about the toilet, but can you give us a little more information on the water valve and the service module issues that you hope to learn from? Sure, I think...
08/04/2026 - 18:41:17 (-3 TMZ) | 06:23:06:17 (Artemis Clock) | We saw it inadvertently closed. And so because that's in the service module, you know, we will not be getting the service module back. And so we have designed a bit of a test to do, I think it's happening later today. The timeline's moving around a bit, but to kind of do some additional opening and closing of different valves in that system to learn more.
08/04/2026 - 18:41:43 (-3 TMZ) | 06:23:06:43 (Artemis Clock) | out the valves in that system since we won't be getting the service module back.
08/04/2026 - 18:42:09 (-3 TMZ) | 06:23:07:09 (Artemis Clock) | for the heat shields that are being changed for Artemis, actually four in particular, and also for three since it's not going to be coming back from a lunar orbit, just what value is that information now? Thanks.
08/04/2026 - 18:42:36 (-3 TMZ) | 06:23:07:36 (Artemis Clock) | Different profile, but we have what we expect to see on that heat shield based on that profile and based on our ground testing. So a lot of this data we get is to validate the models and the testing we saw on the ground to make sure we're able to recreate behavior in testing on the ground. And then we can use that, the recreations on the ground to actually...
08/04/2026 - 18:43:34 (-3 TMZ) | 06:23:08:34 (Artemis Clock) | for orbital debris completed. You know, there's a very defined tool we use called PRA, Probabilistic Risk Assessment, where we actually look at all of the things that create risk for the mission, and MMOD is one of those items. And so we have MMOD protection.
08/04/2026 - 18:44:00 (-3 TMZ) | 06:23:09:00 (Artemis Clock) | at risk falls in that regime. We designed the spacecraft to try and be tolerant to MMOD strikes by putting a lot, like I said, a lot of margin into our TPS materials and flying in certain ways to keep the MMOD away from where we don't want it to be. So not a lot we can do.
08/04/2026 - 18:44:26 (-3 TMZ) | 06:23:09:26 (Artemis Clock) | Okay, we can go to you and then we'll take another question from the phone. Hi, Michael Atkison, Houston Public Media. I have a question for Rick. I wanna ask how reentry for this mission looks different than it did for Artemis I and also recent missions over the last couple of decades, how this is specifically different. And then...
08/04/2026 - 18:44:52 (-3 TMZ) | 06:23:09:52 (Artemis Clock) | On that one we'll have to go back and look what they did during Apollo, so we'll get back to you.
08/04/2026 - 18:45:03 (-3 TMZ) | 06:23:10:03 (Artemis Clock) | As far as the changes on entry between Artemis I and Artemis II, the most significant difference is the range from entry interface to splashdown. We've talked a number of times about how we've shortened the entry range. We're down around 2,000 miles for this mission, and that's a function of the circu-
08/04/2026 - 18:45:08 (-3 TMZ) | 06:23:10:08 (Artemis Clock) | Verification of the heat shield.
08/04/2026 - 18:45:30 (-3 TMZ) | 06:23:10:30 (Artemis Clock) | Okay, we'll go to the phone. We'll get a question from Mica Maidenberg with the Wall Street Journal.
08/04/2026 - 18:45:56 (-3 TMZ) | 06:23:10:56 (Artemis Clock) | for a crew during reentry, are they expected to be silent, make verbal observations about what's going on? Thanks. Yeah, the period of maximum velocity shouldn't last long. We're continuing to speed up as we speak. We're getting closer and closer to Earth, and our velocity...
08/04/2026 - 18:46:38 (-3 TMZ) | 06:23:11:38 (Artemis Clock) | as Reed and Victor monitor the spacecraft performance. If all goes nominal, they will not need to take any actions, but they have been trained, working with my team of flight controllers, to respond in the event that we are faced with an off-nominal scenario.
08/04/2026 - 18:46:42 (-3 TMZ) | 06:23:11:42 (Artemis Clock) | Our next question is from Joseph Howlett with Scientific American.
08/04/2026 - 18:47:12 (-3 TMZ) | 06:23:12:12 (Artemis Clock) | As far as what we've learned throughout the mission that has changed how we've done entry, we really have had a really well-functioning spacecraft.
08/04/2026 - 18:47:44 (-3 TMZ) | 06:23:12:44 (Artemis Clock) | in the service module. The crew module propulsion system is nominal. We're going to activate that tomorrow and see how it's functioning. And so we're planning a nominal entry with procedures just as we had developed them pre-flight.
08/04/2026 - 18:48:10 (-3 TMZ) | 06:23:13:10 (Artemis Clock) | the cabin peak heating or peak velocity. And for any of the little tiny problems that have popped up during this mission, like the toilet and that weird smell that the crew was experiencing, is there anything you have to do with those before reentry, or is there any problems that might pose during reentry? Thanks. I would say from a hardware standpoint...
08/04/2026 - 18:48:37 (-3 TMZ) | 06:23:13:37 (Artemis Clock) | So we'll look more into that in the crew module when it gets back. Things like the wastewater venting, we have some new work planned on the dock at the Naval Base San Diego to try and get some early data off of that system. So we're modifying some things on the ground as soon as it gets here.
08/04/2026 - 18:51:17 (-3 TMZ) | 06:23:16:17 (Artemis Clock) | It's a combination. There's early D-sto bags that come out right away. They get shipped back on aircraft. Some of the data storage that's got some of the imagery and other technical data, we'll actually be downloading those cards onto computers, making copies there in San Diego. So it's a combination depending on the criticality.
