06/04/2026 - 19:35:08 (-3 TMZ) | 05:00:00:08 (Artemis Clock) | Okay, impact flashes, zip reps in the blind. We got it.
07/04/2026 - 17:52:31 (-3 TMZ) | 05:22:17:31 (Artemis Clock) | When I look at all of those images that were scrolling by, I hope all of you are as inspired as I am. I know as they continue to be downloaded, you know, they're just absolutely stunning and we really hope that they are inspiring truly everyone in the world.
07/04/2026 - 17:52:57 (-3 TMZ) | 05:22:17:57 (Artemis Clock) | To the moon. They offered some compelling words, and I love this. They challenged this generation and the next to make sure that this record is not long-lived, and I love that because we have big plans to go not just back to the moon on a regular basis, but beyond.
07/04/2026 - 17:53:28 (-3 TMZ) | 05:22:18:28 (Artemis Clock) | Jeremy return home safely on Friday evening, so we're pretty focused on that now, making sure that they get home safely. I will just say a couple of things about yesterday's operations. Really provided a great opportunity to test how our flight operations teams and our science teams are working together in real...
07/04/2026 - 17:53:49 (-3 TMZ) | 05:22:18:49 (Artemis Clock) | together in order to enable all of what you're seeing.
07/04/2026 - 17:54:15 (-3 TMZ) | 05:22:19:15 (Artemis Clock) | our transportation systems like Orion, working with our flight operations and our flight directors, all of the ground teams that are supporting, including the science teams supported by the science mission directorate, thinking about our crew that are actually performing the work and then the payloads that have been provided.
07/04/2026 - 17:54:46 (-3 TMZ) | 05:22:19:46 (Artemis Clock) | Gathering is really going to help refine how we plan our future missions to the lunar surface. I'll just say that our flight operations team continues to fly Orion and put it through its paces as the crew and the spacecraft make their way home. And the mission isn't over yet. We do continue to learn from how our spacecraft and our crew are.
07/04/2026 - 17:55:12 (-3 TMZ) | 05:22:20:12 (Artemis Clock) | On the crew health and life in space. So still a lot of things going on, and with that, I'm going to pass it over to Rick so he can share some of the operational details. Thank you, Lori. The administrator touched on a few of the operations that the crew has been up to recently, but I'll fill in a few of the other details of interest.
07/04/2026 - 17:55:29 (-3 TMZ) | 05:22:20:29 (Artemis Clock) | Last met Sunday evening, the crew performed the first orbital trajectory correction maneuver, outbound trajectory correction maneuver number three. It was 10.4 feet per second. The burn duration was 19 seconds and we used our auxiliary thrusters on the service module. Obviously yesterday was the big day with flyby.
07/04/2026 - 17:56:01 (-3 TMZ) | 05:22:21:01 (Artemis Clock) | announced by Jeremy. As part of the lunar flyby, the crew made their pass closest to the moon, flying at 3,138 miles per hour relative to the surface of the moon. And now they're on their way making their march back home to Earth.
07/04/2026 - 17:56:27 (-3 TMZ) | 05:22:21:27 (Artemis Clock) | milestone where we exited the lunar sphere of influence and we're back under the control of Earth's gravity. As for today's operations, we had a couple of public affairs events. The crew is going to have, each of them will have a conference with their family members. We'll have some routine medical checks, and then in the evening,
07/04/2026 - 17:56:53 (-3 TMZ) | 05:22:21:53 (Artemis Clock) | 1 decimal 3 feet per second. It'll last about 15 seconds, and we're going to use the service module reaction control system thrusters to do that burn. We expect that burn to occur about 9:00 p.m. Eastern Time. Finally, I'll conclude my remarks with acknowledging that the USS John...
07/04/2026 - 17:57:20 (-3 TMZ) | 05:22:22:20 (Artemis Clock) | I'll hand it over to Kelsey. Thanks. Spirits are very high. We did what we set out to do. The lunar science team and the crew prepared extensively, as we talked about a couple days ago, for flyby, and I hope you all saw that yesterday during execution. We confirmed.
07/04/2026 - 17:57:46 (-3 TMZ) | 05:22:22:46 (Artemis Clock) | Operations. And as Rick just said, you know, we left temporarily, and we're looking forward to integrating all these lessons learned in future missions. I can't conclude opening remarks without diving into science details, so forgive me just a couple deep dives. Impact lashes. You know, over a 30-minute observation...
07/04/2026 - 17:58:12 (-3 TMZ) | 05:22:23:12 (Artemis Clock) | We did have citizen scientists here on Earth also looking for flashes, and I know that the Lunar Reconnaissance Orbiter team is hard at work trying to identify evidence of those impact flashes that the crew observed. I did have a chance to have the post-flyby crew conference with the crew this morning, and we asked a lot of follow-up questions.
07/04/2026 - 17:58:28 (-3 TMZ) | 05:22:23:28 (Artemis Clock) | follow-ups on those impact flashes. Impact flashes are caused by micrometeoroid impacts hitting the moon and they really help tell us about the dynamic lunar environment, which is, of course, also important when we think about future missions. I don't know if I expected to have the crew see any on this mission, so you--
07/04/2026 - 17:59:00 (-3 TMZ) | 05:22:24:00 (Artemis Clock) | a lot about the importance that human explorers bring to scientific exploration, especially around observations of color. And so I'm sure all of you, like I was, was eagerly awaiting if they saw any other colors other than black, white, and shades of gray. You heard that they did indeed, right away.
07/04/2026 - 17:59:37 (-3 TMZ) | 05:22:24:37 (Artemis Clock) | here on Earth, and so I encourage you all to go out and look at the moon tonight and look for Aristarchus and imagine those green hues that the crew members saw. You heard a lot of discussion, especially from our pilot, Victor Glover, about the terminator, which really, you know, to our mind, highlighted the benefits, and also...
07/04/2026 - 18:00:09 (-3 TMZ) | 05:22:25:09 (Artemis Clock) | also accentuating topography. This is really important for our agency's future Moon base plans and understanding how crew member observations can contribute to future mission planning. And finally, the Artemis II crew, in a very poignant moment, offered proposed names for two unnamed
07/04/2026 - 18:00:35 (-3 TMZ) | 05:22:25:35 (Artemis Clock) | in general for Commander Wiseman's late wife. I think we have a picture. Yeah, thank you. Upon return, the crew does plan to submit these to the International Astronomical Union as consideration for official names. There was, as Rick said, not a dry eye in the house. Really poignant moment in that we were really glad to...
07/04/2026 - 18:00:40 (-3 TMZ) | 05:22:25:40 (Artemis Clock) | observe them describing. And with that, I think we can take questions.
07/04/2026 - 18:01:07 (-3 TMZ) | 05:22:26:07 (Artemis Clock) | Thanks so much. Jackie Wattles with CNN. I don't think there was a dry eye on Earth when Carol Crater was named. I was just curious, was Rita aware that that was going to be something that the crew was gonna do? I was just curious if there was any preplanned discussions and they were just kind of looking for...
07/04/2026 - 18:01:33 (-3 TMZ) | 05:22:26:33 (Artemis Clock) | Reissue now, like is the toilet out of commission until they get back, or where does that stand? Thanks.
07/04/2026 - 18:01:44 (-3 TMZ) | 05:22:26:44 (Artemis Clock) | I'll take the second part. OK. Yes, I know the crew put a lot of, obviously, thought and pre-planning into what you heard yesterday. It is my understanding that he was aware prior to yesterday.
07/04/2026 - 18:02:10 (-3 TMZ) | 05:22:27:10 (Artemis Clock) | The vent is a lot less than we were expecting, and so we're having to fall back to some other alternate means other than the toilet. But what you overheard on the space-to-ground, or on the Orion-to-Earth channel this morning was us deferring some maintenance on the toilet. Typically, when you have four-
07/04/2026 - 18:02:31 (-3 TMZ) | 05:22:27:31 (Artemis Clock) | And with a lower use rate, since we're not able to vent the wastewater products, we don't need to do the maintenance as often. And so that's what that exchange was about.
07/04/2026 - 18:02:57 (-3 TMZ) | 05:22:27:57 (Artemis Clock) | you outline that NASA is involved in now. And without getting you in trouble with your boss, are you going to be able to defend an $18.8 billion budget, you know, $5.6 billion for 27, or are you prepared to kind of work with Congress to see?
07/04/2026 - 18:03:22 (-3 TMZ) | 05:22:28:22 (Artemis Clock) | like that at a later date and keep the focus on the mission. Thank you.
07/04/2026 - 18:03:29 (-3 TMZ) | 05:22:28:29 (Artemis Clock) | Mark Strassmann, CBS. I feel as though I've talked to about 10 people off campus today, and they all wanted to ask me about those remarkable images. And so they asked me, so I'm going to ask you. Have you seen anything in those images that's surprising?
07/04/2026 - 18:04:12 (-3 TMZ) | 05:22:29:12 (Artemis Clock) | that have started to come down. And there is something in every image that surprises me, right? I mean, you might think that after looking at hundreds of images taken of the lunar surface, I would get sick of it. I have not, nor do I anticipate getting sick of it. I mean, it's just their experience.
07/04/2026 - 18:05:00 (-3 TMZ) | 05:22:30:00 (Artemis Clock) | A lot of us have connected with the images of Earth, with the images from during the eclipse, with the images from the vehicle cameras taking pictures of the moon during the eclipse period. And while they are inspirational and I think allow all of us to, you know, really feel
07/04/2026 - 18:05:26 (-3 TMZ) | 05:22:30:26 (Artemis Clock) | I can tell you that right now as we speak, there is a science evaluation room full of several dozen scientists who are already getting going on those images. Just as one example, there was a healthy scientific debate this morning about some of those images taken during the eclipse period and what we can see of the solar.
07/04/2026 - 18:05:53 (-3 TMZ) | 05:22:30:53 (Artemis Clock) | Hi, TG Mascara with the Epoch Times. Thanks so much for taking the time. For Jared, as we saw with Artemis 2 going around the moon and having that very characteristic blackout of when they go around the moon, how much longer...?
07/04/2026 - 18:06:13 (-3 TMZ) | 05:22:31:13 (Artemis Clock) | land on the priority list.
07/04/2026 - 18:06:24 (-3 TMZ) | 05:22:31:24 (Artemis Clock) | Yeah, I'd say, I mean, people have asked quite a bit about, you know, was elevated blood pressure when we were without comms with Orion on the far side of the moon. I mean, this is, we have comm issues in LEO relatively, you know, routinely, certainly our
07/04/2026 - 18:06:50 (-3 TMZ) | 05:22:31:50 (Artemis Clock) | prioritizing observation and comm relay satellites for lunar operations so we can bring the world along with us as we build out a moon base. And I think I was in a meeting not that long ago where we described it as if not the platinum age for commercial communication capability.
07/04/2026 - 18:07:16 (-3 TMZ) | 05:22:32:16 (Artemis Clock) | and I have no doubt in lunar orbit in the years ahead.
07/04/2026 - 18:07:43 (-3 TMZ) | 05:22:32:43 (Artemis Clock) | I'm speaking on behalf of musicians around the world and bands. I have a band called Chasing Satellites, and will there be potentially an opportunity to submit music for a future Artemis mission for the wake-up calls? That was really cool to be a part of and to watch as a musician.
07/04/2026 - 18:08:09 (-3 TMZ) | 05:22:33:09 (Artemis Clock) | spaceflight mission than being in the vehicle itself, especially a mission such as Artemis II, which kicks off so many other exciting ones to follow as, you know, we return to the moon and build that enduring presence to learn so that we can undertake even grander missions, as Dr. Glaze referenced, beyond the moon.
07/04/2026 - 18:08:40 (-3 TMZ) | 05:22:33:40 (Artemis Clock) | that come together for a moment like this, all the testing that goes into it, and the fact that we have this playbook before and we're running it. Now in terms of contributions for music and future wake-up music for subsequent missions, I hope we're running so many missions to and from the moon in the future that we're gonna
07/04/2026 - 18:09:21 (-3 TMZ) | 05:22:34:21 (Artemis Clock) | testing out the vehicle for a lunar landing as soon as 2028.
07/04/2026 - 18:09:33 (-3 TMZ) | 05:22:34:33 (Artemis Clock) | Yeah, well, I mean, I'd say for this mission, we're certainly off to a good start. I mean, clean launch and the vehicle has been doing well. You know, I made commentary early on that I like that we're talking about, you know, water access valves and cabin temperature and even plumbing issues, for that matter, for all the things.
07/04/2026 - 18:10:04 (-3 TMZ) | 05:22:35:04 (Artemis Clock) | Beginning of this press event is that a lot of people's rightful attention right now is on the crew of Artemis II, especially here at JSC and Mission Control, especially the recovery forces that are now making their way out to bring this crew back to their family and for everybody else.
07/04/2026 - 18:10:32 (-3 TMZ) | 05:22:35:32 (Artemis Clock) | out to 39B right now. We've got a timeline to get it back in the VAB ideally in a week. That would cut down on the turnaround, I think, by three months compared to Artemis 2. So we can do, we can undertake, again, world-changing missions like Artemis 2 right now and get ready for the next ones at the same time.
07/04/2026 - 18:10:44 (-3 TMZ) | 05:22:35:44 (Artemis Clock) | Hi, Josh Dinner, Space.com. Has this mission revealed anything about life aboard Orion, crew workload, flights in deep space, or maybe something unexpected that will shape how NASA and Artemis crews approach preparing for future missions?
07/04/2026 - 18:11:15 (-3 TMZ) | 05:22:36:15 (Artemis Clock) | subjective activities we've been doing, you know, I think we have a couple of problems that we still need to work out, but Orion has been, has shown itself to be a very capable capsule for beyond Earth orbit space travel. And I think the things like, as
07/04/2026 - 18:11:57 (-3 TMZ) | 05:22:36:57 (Artemis Clock) | Go from Marsha to Eric and then do a couple on the phone bridge. Marsha Dunn, Associated Press, for Dr. Young. It's hard for me to know how quickly these pictures are coming down. How many would you estimate that have come down so far of the moon? And these luminous flashes on the surface, was that an actual meteor?
07/04/2026 - 18:12:13 (-3 TMZ) | 05:22:37:13 (Artemis Clock) | Do you think, or is it just your usual business of falling debris? Yeah, so the team, the FOD team is working really hard to bring down the images as fast as they can. Of course, we also have other vehicle data that needs to come down as well. But the team is working really hard to try to get
07/04/2026 - 18:12:40 (-3 TMZ) | 05:22:37:40 (Artemis Clock) | roughly an hour ago, there was just over 50 gigabytes of data from yesterday that had come down. Of course, that's not every image does not exactly have the moon in it, but it is taken from within the lunar observation period. So we're working really hard to get those down as well as the audio files that the crew were taking. That's a really...
07/04/2026 - 18:13:11 (-3 TMZ) | 05:22:38:11 (Artemis Clock) | But there are multiple hours of recordings of, you know, meaty science observations, about two-thirds of which we've been able to get down so far, and our team has already been looking at that, you know, those couple hours of transcripts and audio files. As for the impact flashes, yeah, absolutely.
07/04/2026 - 18:13:37 (-3 TMZ) | 05:22:38:37 (Artemis Clock) | Talked to them about that just this morning in the crew conference with them. I think, you know, it's very early to tell, right? This happened less than 24 hours ago. Our teams are looking at it now, and spacecraft like the Lunar Reconnaissance Orbiter will be really helpful to try to help us narrow in on that. But the lunar environment is a dynamic system.
07/04/2026 - 18:13:48 (-3 TMZ) | 05:22:38:48 (Artemis Clock) | dynamic place, and we have a lot to learn about it. You know, LRO has returned a lot of information about the lunar environment, but observations like this are a critical part of our understanding, which will pay dividends for future surface exploration.
07/04/2026 - 18:14:14 (-3 TMZ) | 05:22:39:14 (Artemis Clock) | You brought up the Artemis 3 mission design. Can you bring up sort of, or talk about the two or three hardest problems that you're tackling? Sort of, you talked about the mission design meeting today, but sort of the two or three hardest problems you're tackling right now to make sure...
07/04/2026 - 18:14:20 (-3 TMZ) | 05:22:39:20 (Artemis Clock) | that launches next year.
07/04/2026 - 18:14:45 (-3 TMZ) | 05:22:39:45 (Artemis Clock) | We are out in front of a mission that's underway right now. I would just say that there are a lot of things based on the information we have available today from feedback from our vendors that we know are achievable. And I think one of the questions probably will just be what the initial orbit will be for Artemis III. Is it going to be LEO?
07/04/2026 - 18:15:18 (-3 TMZ) | 05:22:40:18 (Artemis Clock) | cadence of our two HLS providers, both of which have launches coming up, I would say, in the next month or less right now. So a big key to our strategy, not just to return to the Moon, but to stay and to build a base, is going to be rapid reusability of heavy lift launch vehicles. So the more they get...
07/04/2026 - 18:15:29 (-3 TMZ) | 05:22:40:29 (Artemis Clock) | experience doing that, the more options that are available for us for Artemis III. But I'd say right now, we certainly have a good plan for that mission. It will help us buy down a lot of risk in advance of a landing for Artemis IV in '28.
07/04/2026 - 18:15:34 (-3 TMZ) | 05:22:40:34 (Artemis Clock) | Jeff Foust with SpaceNews.
07/04/2026 - 18:16:01 (-3 TMZ) | 05:22:41:01 (Artemis Clock) | These images and verbal descriptions and annotations, what's the plan for the science team in the days and weeks ahead to go through all of that data and see how they address the 10 science objectives that you laid out for this mission? Thank you. Oh, my goodness, what a good question. We have a lot of data to get through.
07/04/2026 - 18:16:27 (-3 TMZ) | 05:22:41:27 (Artemis Clock) | Getting data down. You know, I will reiterate that we will be getting all mission data relevant to lunar science archived and made publicly available within six months post-splashdown. So these are all of the images of the moon, these audio files, and even the annotations. But in the meantime...
07/04/2026 - 18:16:59 (-3 TMZ) | 05:22:41:59 (Artemis Clock) | to accomplish our objectives, but relevant to your question, the second one is a post-mission preliminary lunar science report, and so we are going to be going objective by objective with those 10 lunar science objectives you referenced, looking across this entire, you know, really rich, robust, but very large--
07/04/2026 - 18:17:25 (-3 TMZ) | 05:22:42:25 (Artemis Clock) | but set up the community for success so that they can access those data and help us answer these fundamental driving science questions. You know, the lunar science team for this mission, it was our charter to develop the objectives and to maximize the science value out of this mission. We'll be doing an initial assessment over six months, and then we're really eager.
07/04/2026 - 18:17:30 (-3 TMZ) | 05:22:42:30 (Artemis Clock) | to see what the community is able to do with these data.
07/04/2026 - 18:17:36 (-3 TMZ) | 05:22:42:36 (Artemis Clock) | We'll move to Ken Chang with The New York Times.
07/04/2026 - 18:18:03 (-3 TMZ) | 05:22:43:03 (Artemis Clock) | The data rate, how does that compare with what was expected, and how does it compare with the usual way of sending data back? And it seems like it's been almost operational already, and not just a test. Thank you. Yeah, I think the question was relative to some of the data rates for the...
07/04/2026 - 18:18:29 (-3 TMZ) | 05:22:43:29 (Artemis Clock) | It's down in a little more than 45 minutes. That's orders of magnitude more than we get via our S-band telemetry system. So optical comm has been working really well, and hopefully we can take what we learned on Artemis II and expand its operational capability.
07/04/2026 - 18:18:33 (-3 TMZ) | 05:22:43:33 (Artemis Clock) | capability and its implementation for future missions.
07/04/2026 - 18:18:37 (-3 TMZ) | 05:22:43:37 (Artemis Clock) | And now we will move to Lauren Grush with Bloomberg.
07/04/2026 - 18:19:13 (-3 TMZ) | 05:22:44:13 (Artemis Clock) | and how that robustness impacted the science and the data that was collected.
07/04/2026 - 18:19:21 (-3 TMZ) | 05:22:44:21 (Artemis Clock) | Absolutely. I mean, probably a lot of people watching have spent a lot of time looking back at Apollo and maybe watching Apollo in real time online and reliving what the Apollo crews, not just on the surface, but in orbit experienced. You have, I'm sure, heard.
07/04/2026 - 18:19:49 (-3 TMZ) | 05:22:44:49 (Artemis Clock) | Listening to the level of scientific discourse that the crew was having yesterday was incredibly inspiring. I mean, a testament to how much they prepared before this mission. You know, I heard a couple times Christina and Victor especially saying, when we took the time to actually talk to each other about a specific target that we were both...
07/04/2026 - 18:20:17 (-3 TMZ) | 05:22:45:17 (Artemis Clock) | target are better than one, and we heard from them directly multiple times that they were helping each other to advance their scientific understanding of what they were looking at. We actually also heard them say, hey, we have a hypothesis. Can you guys provide guidance on that hypothesis, like right now in the middle of our flyby?
07/04/2026 - 18:20:49 (-3 TMZ) | 05:22:45:49 (Artemis Clock) | I mean, this is absolutely everything we hoped for by integrating science into flight operations, you know, because, again, science enables exploration, and exploration enables science. And the fact that, you know, they're getting observations, and, you know, I was able to immediately follow up on those observations with, you know,
07/04/2026 - 18:21:14 (-3 TMZ) | 05:22:46:14 (Artemis Clock) | Just imagining the future when we have crew on the surface for short-duration missions and ultimately the moon base, the amount of science we are able to gain when, you know, science is woven into this operational fabric is incredibly impactful. And we saw that, you know, for seven straight hours yesterday.
07/04/2026 - 18:21:18 (-3 TMZ) | 05:22:46:18 (Artemis Clock) | Yesterday.
07/04/2026 - 18:21:20 (-3 TMZ) | 05:22:46:20 (Artemis Clock) | Now we'll move to Micah Maidenberg with The Wall Street Journal.
07/04/2026 - 18:21:46 (-3 TMZ) | 05:22:46:46 (Artemis Clock) | Approximate time on Friday when the crew module separates from the service module, if you have that on hand, the administrator mentioned splashdown is expected for around 8:07 Eastern. And then any color on kind of re-entry prep work ahead for the crew and mission control between...
07/04/2026 - 18:22:13 (-3 TMZ) | 05:22:47:13 (Artemis Clock) | Module and service module separation is going to occur about 20 minutes before entry interface, so that separation will be at 7:33 p.m. Eastern time. We expect entry interface about 7:53 p.m. Eastern time with a splashdown around 8:06 p.m. Eastern time.
07/04/2026 - 18:22:39 (-3 TMZ) | 05:22:47:39 (Artemis Clock) | equipment and cameras and tablets and reference material that got un-stowed in support of the flyby, well, we have to put that all away. We have to pack up our our suitcases and get ready to come home. And that takes time, and so we are laying out a plan to make sure that the crew gets everything packed away.
07/04/2026 - 18:22:59 (-3 TMZ) | 05:22:47:59 (Artemis Clock) | Touchdown day and come home.
07/04/2026 - 18:23:25 (-3 TMZ) | 05:22:48:25 (Artemis Clock) | duplicate or what are the problems might that cause. Yeah, so the engineering team is going to go through a full fault tree to identify all of the potential causes of the blockage. Initially, you may have recalled that we thought it might be icing up at the nozzle at the outer mold line of the spacecraft. We have pretty high confidence.
07/04/2026 - 18:23:51 (-3 TMZ) | 05:22:48:51 (Artemis Clock) | We've activated heaters along the lines internal to the spacecraft, and we still see a blockage. And so the latest theory is related to some of the chemistry that goes into ensuring that the wastewater doesn't develop any biofilms. And there may be something.
07/04/2026 - 18:24:17 (-3 TMZ) | 05:22:49:17 (Artemis Clock) | clogged in a filter, but again, we don't have root cause. And once we get the spacecraft back into the processing facility in Florida, we'll be able to get access to all the components and do a real detailed fault tree to identify the root cause.
07/04/2026 - 18:24:49 (-3 TMZ) | 05:22:49:49 (Artemis Clock) | brief amount of time, I wonder how these observations and the ones made previously by LRO will factor into creating the conditions for a moon base that can allow the astronauts to stay safe, given the probability that they may experience a micrometeoroid impact.
07/04/2026 - 18:24:54 (-3 TMZ) | 05:22:49:54 (Artemis Clock) | and that site. Thank you.
07/04/2026 - 18:25:20 (-3 TMZ) | 05:22:50:20 (Artemis Clock) | quite a while. All of that is being fed into our plans and making sure that we understand what all of the variety of risks are. There's many, many that we're looking at and of course micrometeoroids being one as we start to establish infrastructure on the surface and understanding those rates, these kind of data...
07/04/2026 - 18:25:41 (-3 TMZ) | 05:22:50:41 (Artemis Clock) | to the moon, down at the south pole, maybe a little slightly different rates than we would see higher up at higher latitudes. So we need to compile all of those data and understand what those impacts might be.
07/04/2026 - 18:26:07 (-3 TMZ) | 05:22:51:07 (Artemis Clock) | that you found yesterday. I know the question was asked about what was inspirational. I talked to Joe Kearns yesterday, and he had told me, I'm just looking at his quote, as a scientist, I can tell you what's most inspirational is when you're pouring through something you're working on and you realize you're seeing something that nobody else has ever seen before.
07/04/2026 - 18:26:32 (-3 TMZ) | 05:22:51:32 (Artemis Clock) | And then also explain to us on Earth that maybe this is high level, over our heads, how what was photographed or taken yesterday could maybe give us some answers on our planet of Earth. Thank you, yeah, lovely questions. I might just...
07/04/2026 - 18:27:04 (-3 TMZ) | 05:22:52:04 (Artemis Clock) | They noticed a variety of different color and albedo hues associated not just with Ohm, but with the rays that extend out from the crater. This could indicate, you know, impact, impactors, impact events are really compelling for a lot of reasons. Obviously, I'm quite biased, having written my PhD on that.
07/04/2026 - 18:27:30 (-3 TMZ) | 05:22:52:30 (Artemis Clock) | geologist cheat code, right, where it's, you can't get all the way down there by yourself, but when an impact has brought up that material for you, it can actually perform that excavation, and we just need to send the crew to the right spots on the surface, and they can actually look at depths far below the surface. And I bring that up here to say that what the crew observed around...
07/04/2026 - 18:27:56 (-3 TMZ) | 05:22:52:56 (Artemis Clock) | that they were distinct and different and evolved along the ray systems, which could potentially lead us to believe that that crater excavated from distinct depths below the surface of the moon. So it's those kinds of nuanced observations that can ultimately inform future...
07/04/2026 - 18:28:21 (-3 TMZ) | 05:22:53:21 (Artemis Clock) | These ultimately get at chronology of the solar system, at how the inner solar system has evolved over time, which connects to, you know, the moon being the witness plate for our planet and for the inner solar system. You know, we, you've, you heard Laurie and I the other day get very excited about talking about
07/04/2026 - 18:28:47 (-3 TMZ) | 05:22:53:47 (Artemis Clock) | It's passed, and the fact that that part of the record of our Earth-Moon system is still available on Earth. Well, where it's available is the highlands, the far side highlands, and the South Pole. Specifically, the South Pole has the South Pole Aitken Basin, which is my personal favorite lunar and planetary site.
07/04/2026 - 18:29:13 (-3 TMZ) | 05:22:54:13 (Artemis Clock) | anchor the chronology for the entire solar system. And so crew observing things like they did with Ohm where they can say, with my eyes, I can see this distinction, which can ultimately tell us that future observations of high-priority landing sites could tell us something similar. This is how we can
07/04/2026 - 18:30:17 (-3 TMZ) | 05:22:55:17 (Artemis Clock) | We'll follow up and we'll find the answers. I do not have the answer offhand about the Apollo 10 speed record, so we'll have to get that back to you tomorrow. And tomorrow I'm actually going to provide a lot of detail about the sequence of events for entry, as I'm the entry flight director for Friday evening's splashdown. But with respect to...
07/04/2026 - 18:30:43 (-3 TMZ) | 05:22:55:43 (Artemis Clock) | We would prefer to not do that. We like to give ourselves a little bit of margin, but we can adjust the latitude and longitude of the site, and the spacecraft will fly to those coordinates so long as we get that command up before entry interface. So we're going to make a decision far in advance of entry interface to know where the splashdown
07/04/2026 - 18:30:54 (-3 TMZ) | 05:22:55:54 (Artemis Clock) | I'll say it'll be because our top priority is to ensure that when Integrity and her crew of four splashdown, that we have the recovery forces right nearby to help get them out and get them back to the recovery ship.
07/04/2026 - 18:31:21 (-3 TMZ) | 05:22:56:21 (Artemis Clock) | of ocean within which we can select the most acceptable weather. And as you said, weather near San Diego looks favorable, so I'm optimistic that we'll be able to land close to the shore.
07/04/2026 - 18:31:48 (-3 TMZ) | 05:22:56:48 (Artemis Clock) | and those breathtaking images, and thanks for doing this too. There's been a lot of focus on the toilet, but I'm looking to get a kind of overall perspective on how happy you've been with Orion and the European service module. What are you definitely going to have to fix before you fly it again?
07/04/2026 - 18:31:52 (-3 TMZ) | 05:22:56:52 (Artemis Clock) | And how confident are you looking ahead to re-entry?
07/04/2026 - 18:32:20 (-3 TMZ) | 05:22:57:20 (Artemis Clock) | with really everything the way that it's performing, the engines, the manual control that you've heard us talk about several times, that the crew have just gone over and over about how well that's performing, how nicely the...
07/04/2026 - 18:32:51 (-3 TMZ) | 05:22:57:51 (Artemis Clock) | of the things, the hardware itself performing extremely well. We're really looking forward to turning this around and flying again in a year, and then again a year after that. I think this hardware is really spectacular, and we're really looking forward to doing this more often.
07/04/2026 - 18:33:13 (-3 TMZ) | 05:22:58:13 (Artemis Clock) | As we get this down on the ground, we'll be able to get inside and we will get to the root of that.
07/04/2026 - 18:33:40 (-3 TMZ) | 05:22:58:40 (Artemis Clock) | Oh, like the analogies they used to describe lunar features? Yes, I liked the handprint, and that actually, we had a team working overnight to figure out exactly what they meant, and they found it this morning. They were very excited to figure out exactly what they were talking about.
07/04/2026 - 18:34:17 (-3 TMZ) | 05:22:59:17 (Artemis Clock) | I have a feature as looking like a wound. We do agree. I'm not sure it was my favorite lunar descriptor I heard yesterday, but it was evocative, and she was right. It did indeed look like a wound. And I was also really resonating with the way that several of the crew members were
07/04/2026 - 18:34:34 (-3 TMZ) | 05:22:59:34 (Artemis Clock) | trying to, you know, in the spirit of wanting to have a scientific dialogue, right, they had science questions they were trying to answer, and they were asking us some pretty sophisticated questions real-time. And so to bring us with them on what they were seeing, the way that they were cluing us in to how they were moving across...
07/04/2026 - 18:35:05 (-3 TMZ) | 05:23:00:05 (Artemis Clock) | to our team be ready to very quickly provide them with answers to the science questions, which is again important not just because of course we want to support our crew at the moon, but when we can respond quickly and understand what they're looking at, it maximizes science because we can immediately ask the follow-up questions.
07/04/2026 - 18:35:32 (-3 TMZ) | 05:23:00:32 (Artemis Clock) | It's great to clue us into what they're seeing, but it really helps us, in real time, maximize the science we're getting out of, in this case, a seven-hour flyby. I'd like to just comment real quickly on one of my favorite, and it wasn't actually a lunar observation, but it was during the eclipse, and they were looking at the planets that could be seen. You could see Mercury.
07/04/2026 - 18:36:04 (-3 TMZ) | 05:23:01:04 (Artemis Clock) | And I thought that was spectacular. We only have time for a couple more questions, so I'll pass it over to you, Jonathan, and then we'll do one more. Thank you. Jonathan Serry with Fox News. I would love to know about the logistics that went into the ship-to-ship call. If you could explain in layman's terms, how did it work out?
07/04/2026 - 18:36:30 (-3 TMZ) | 05:23:01:30 (Artemis Clock) | So the logistics, we have done a number of public affairs events on integrity throughout the mission. We do them multiple times a week on the space station, and everything goes through Houston. So the data comes through the deep space network, through the Jet Propulsion Laboratory, over to Houston. We have audio.
07/04/2026 - 18:36:56 (-3 TMZ) | 05:23:01:56 (Artemis Clock) | Send it to the appropriate destination. We send, we do public affairs events down from the ISS through the tracking and data relay satellite system. And so that's something we do all the time. It's just a matter of connecting the two wires. And so logistics were really quite easy despite.
07/04/2026 - 18:37:22 (-3 TMZ) | 05:23:02:22 (Artemis Clock) | I observed that I didn't anticipate, you know, of course, we're expecting the crew joy at talking and connecting to each other, but looking around the room at the other flight controllers, and actually the viewing gallery was open for other FOD employees to observe, you know, this is a team sport, you know, so many people, thousands of people work to enable this, and seeing the joy.
07/04/2026 - 18:37:28 (-3 TMZ) | 05:23:02:28 (Artemis Clock) | Joy on everybody's faces as these two missions flying at the same time had this moment of connection is going to stay with me as a moment of inspiration from this mission.
07/04/2026 - 18:37:54 (-3 TMZ) | 05:23:02:54 (Artemis Clock) | I mean, it began with a single person in a Mercury spacecraft, and we've progressed to two spacecraft at one time. I mean, now we've got an international space station while a spacecraft is coming back from the moon. This is progress. We talk a lot about, you know, what is an interesting KPI.
07/04/2026 - 18:38:20 (-3 TMZ) | 05:23:03:20 (Artemis Clock) | Here we've got communication going on between our moon base, you know, their colleagues that are orbiting above them in a lander, relaying back maybe to other colleagues on an international or a future commercial space station. These are all steps in the right direction for the exciting future.
